# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-06-20 10:34:11 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01193050 CONNECTICUT RIVER AT MIDDLE HADDAM, CT
# -----------------------------------------------------------------------------------
#
# Data provided for site 01193050
#            TS   parameter     Description
#         66930       00060     Discharge, cubic feet per second
#         66934       72137     Discharge, tidally filtered, cubic feet per second
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	66930_00060	66930_00060_cd	66934_72137	66934_72137_cd
USGS	01193050	2017-05-15 06:15	EDT	40700	P		
USGS	01193050	2017-05-15 06:20	EDT	41400	P		
USGS	01193050	2017-05-15 06:25	EDT	42000	P		
USGS	01193050	2017-05-15 06:30	EDT	42500	P		
USGS	01193050	2017-05-15 06:35	EDT	42600	P		
USGS	01193050	2017-05-15 06:40	EDT	42700	P		
USGS	01193050	2017-05-15 06:45	EDT	42600	P		
USGS	01193050	2017-05-15 06:50	EDT	42700	P		
USGS	01193050	2017-05-15 06:55	EDT	42800	P		
USGS	01193050	2017-05-15 07:00	EDT	43000	P	40600	P
USGS	01193050	2017-05-15 07:05	EDT	43900	P		
USGS	01193050	2017-05-15 07:10	EDT	44500	P		
USGS	01193050	2017-05-15 07:15	EDT	45400	P		
USGS	01193050	2017-05-15 07:20	EDT	44800	P		
USGS	01193050	2017-05-15 07:25	EDT	44300	P		
USGS	01193050	2017-05-15 07:30	EDT	43700	P		
USGS	01193050	2017-05-15 07:35	EDT	43900	P		
USGS	01193050	2017-05-15 07:40	EDT	44100	P		
USGS	01193050	2017-05-15 07:45	EDT	44300	P		
USGS	01193050	2017-05-15 07:50	EDT	45300	P		
USGS	01193050	2017-05-15 07:55	EDT	46300	P		
USGS	01193050	2017-05-15 08:00	EDT	47500	P	41000	P
USGS	01193050	2017-05-15 08:05	EDT	46800	P		
USGS	01193050	2017-05-15 08:10	EDT	46100	P		
USGS	01193050	2017-05-15 08:15	EDT	45400	P		
USGS	01193050	2017-05-15 08:20	EDT	45900	P		
USGS	01193050	2017-05-15 08:25	EDT	46500	P		
USGS	01193050	2017-05-15 08:30	EDT	47000	P		
USGS	01193050	2017-05-15 08:35	EDT	47000	P		
USGS	01193050	2017-05-15 08:40	EDT	47200	P		
USGS	01193050	2017-05-15 08:45	EDT	47300	P		
USGS	01193050	2017-05-15 08:50	EDT	47200	P		
USGS	01193050	2017-05-15 08:55	EDT	47100	P		
USGS	01193050	2017-05-15 09:00	EDT	47000	P	41300	P
USGS	01193050	2017-05-15 09:05	EDT	46700	P		
USGS	01193050	2017-05-15 09:10	EDT	46400	P		
USGS	01193050	2017-05-15 09:15	EDT	46000	P		
USGS	01193050	2017-05-15 09:20	EDT	46900	P		
USGS	01193050	2017-05-15 09:25	EDT	47700	P		
USGS	01193050	2017-05-15 09:30	EDT	48500	P		
USGS	01193050	2017-05-15 09:35	EDT	47900	P		
USGS	01193050	2017-05-15 09:40	EDT	47000	P		
USGS	01193050	2017-05-15 09:45	EDT	46200	P		
USGS	01193050	2017-05-15 09:50	EDT	46700	P		
USGS	01193050	2017-05-15 09:55	EDT	47000	P		
USGS	01193050	2017-05-15 10:00	EDT	47300	P	41600	P
USGS	01193050	2017-05-15 10:05	EDT	47500	P		
USGS	01193050	2017-05-15 10:10	EDT	47600	P		
USGS	01193050	2017-05-15 10:15	EDT	47800	P		
USGS	01193050	2017-05-15 10:20	EDT	47900	P		
USGS	01193050	2017-05-15 10:25	EDT	48000	P		
USGS	01193050	2017-05-15 10:30	EDT	48100	P		
USGS	01193050	2017-05-15 10:35	EDT	47700	P		
USGS	01193050	2017-05-15 10:40	EDT	47400	P		
USGS	01193050	2017-05-15 10:45	EDT	47000	P		
USGS	01193050	2017-05-15 10:50	EDT	46800	P		
USGS	01193050	2017-05-15 10:55	EDT	46800	P		
USGS	01193050	2017-05-15 11:00	EDT	46500	P	42000	P
USGS	01193050	2017-05-15 11:05	EDT	47000	P		
USGS	01193050	2017-05-15 11:10	EDT	47400	P		
USGS	01193050	2017-05-15 11:15	EDT	47800	P		
USGS	01193050	2017-05-15 11:20	EDT	47100	P		
USGS	01193050	2017-05-15 11:25	EDT	46300	P		
USGS	01193050	2017-05-15 11:30	EDT	45600	P		
USGS	01193050	2017-05-15 11:35	EDT	45700	P		
USGS	01193050	2017-05-15 11:40	EDT	45700	P		
USGS	01193050	2017-05-15 11:45	EDT	45900	P		
USGS	01193050	2017-05-15 11:50	EDT	45900	P		
USGS	01193050	2017-05-15 11:55	EDT	46000	P		
USGS	01193050	2017-05-15 12:00	EDT	46000	P	42300	P
USGS	01193050	2017-05-15 12:05	EDT	46100	P		
USGS	01193050	2017-05-15 12:10	EDT	46300	P		
USGS	01193050	2017-05-15 12:15	EDT	46400	P		
USGS	01193050	2017-05-15 12:20	EDT	46800	P		
USGS	01193050	2017-05-15 12:25	EDT	47000	P		
USGS	01193050	2017-05-15 12:30	EDT	47400	P		
USGS	01193050	2017-05-15 12:35	EDT	46700	P		
USGS	01193050	2017-05-15 12:40	EDT	46200	P		
USGS	01193050	2017-05-15 12:45	EDT	45500	P		
USGS	01193050	2017-05-15 12:50	EDT	45300	P		
USGS	01193050	2017-05-15 12:55	EDT	45100	P		
USGS	01193050	2017-05-15 13:00	EDT	45100	P	42600	P
USGS	01193050	2017-05-15 13:05	EDT	44900	P		
USGS	01193050	2017-05-15 13:10	EDT	44600	P		
USGS	01193050	2017-05-15 13:15	EDT	44300	P		
USGS	01193050	2017-05-15 13:20	EDT	43900	P		
USGS	01193050	2017-05-15 13:25	EDT	43500	P		
USGS	01193050	2017-05-15 13:30	EDT	43100	P		
USGS	01193050	2017-05-15 13:35	EDT	43100	P		
USGS	01193050	2017-05-15 13:40	EDT	43100	P		
USGS	01193050	2017-05-15 13:45	EDT	43000	P		
USGS	01193050	2017-05-15 13:50	EDT	43400	P		
USGS	01193050	2017-05-15 13:55	EDT	43800	P		
USGS	01193050	2017-05-15 14:00	EDT	44200	P	42900	P
USGS	01193050	2017-05-15 14:05	EDT	43500	P		
USGS	01193050	2017-05-15 14:10	EDT	43100	P		
USGS	01193050	2017-05-15 14:15	EDT	42400	P		
USGS	01193050	2017-05-15 14:20	EDT	42200	P		
USGS	01193050	2017-05-15 14:25	EDT	42000	P		
USGS	01193050	2017-05-15 14:30	EDT	41800	P		
USGS	01193050	2017-05-15 14:35	EDT	42100	P		
USGS	01193050	2017-05-15 14:40	EDT	42500	P		
USGS	01193050	2017-05-15 14:45	EDT	42800	P		
USGS	01193050	2017-05-15 14:50	EDT	42600	P		
USGS	01193050	2017-05-15 14:55	EDT	42500	P		
USGS	01193050	2017-05-15 15:00	EDT	42300	P	43300	P
USGS	01193050	2017-05-15 15:05	EDT	42600	P		
USGS	01193050	2017-05-15 15:10	EDT	42600	P		
USGS	01193050	2017-05-15 15:15	EDT	42800	P		
USGS	01193050	2017-05-15 15:20	EDT	42000	P		
USGS	01193050	2017-05-15 15:25	EDT	41200	P		
USGS	01193050	2017-05-15 15:30	EDT	40300	P		
USGS	01193050	2017-05-15 15:35	EDT	40400	P		
USGS	01193050	2017-05-15 15:40	EDT	40500	P		
USGS	01193050	2017-05-15 15:45	EDT	40600	P		
USGS	01193050	2017-05-15 15:50	EDT	41100	P		
USGS	01193050	2017-05-15 15:55	EDT	41700	P		
USGS	01193050	2017-05-15 16:00	EDT	42200	P	43600	P
USGS	01193050	2017-05-15 16:05	EDT	41900	P		
USGS	01193050	2017-05-15 16:10	EDT	41700	P		
USGS	01193050	2017-05-15 16:15	EDT	41400	P		
USGS	01193050	2017-05-15 16:20	EDT	41600	P		
USGS	01193050	2017-05-15 16:25	EDT	41800	P		
USGS	01193050	2017-05-15 16:30	EDT	41800	P		
USGS	01193050	2017-05-15 16:35	EDT	41600	P		
USGS	01193050	2017-05-15 16:40	EDT	41200	P		
USGS	01193050	2017-05-15 16:45	EDT	41000	P		
USGS	01193050	2017-05-15 16:50	EDT	41500	P		
USGS	01193050	2017-05-15 16:55	EDT	42100	P		
USGS	01193050	2017-05-15 17:00	EDT	42600	P	43900	P
USGS	01193050	2017-05-15 17:05	EDT	42400	P		
USGS	01193050	2017-05-15 17:10	EDT	42300	P		
USGS	01193050	2017-05-15 17:15	EDT	42300	P		
USGS	01193050	2017-05-15 17:20	EDT	42300	P		
USGS	01193050	2017-05-15 17:25	EDT	42400	P		
USGS	01193050	2017-05-15 17:30	EDT	42400	P		
USGS	01193050	2017-05-15 17:35	EDT	42400	P		
USGS	01193050	2017-05-15 17:40	EDT	42600	P		
USGS	01193050	2017-05-15 17:45	EDT	42600	P		
USGS	01193050	2017-05-15 17:50	EDT	42700	P		
USGS	01193050	2017-05-15 17:55	EDT	42900	P		
USGS	01193050	2017-05-15 18:00	EDT	43200	P	44200	P
USGS	01193050	2017-05-15 18:05	EDT	43900	P		
USGS	01193050	2017-05-15 18:10	EDT	44700	P		
USGS	01193050	2017-05-15 18:15	EDT	45400	P		
USGS	01193050	2017-05-15 18:20	EDT	45100	P		
USGS	01193050	2017-05-15 18:25	EDT	45000	P		
USGS	01193050	2017-05-15 18:30	EDT	44800	P		
USGS	01193050	2017-05-15 18:35	EDT	44700	P		
USGS	01193050	2017-05-15 18:40	EDT	44600	P		
USGS	01193050	2017-05-15 18:45	EDT	44400	P		
USGS	01193050	2017-05-15 18:50	EDT	44600	P		
USGS	01193050	2017-05-15 18:55	EDT	44700	P		
USGS	01193050	2017-05-15 19:00	EDT	44900	P	44500	P
USGS	01193050	2017-05-15 19:05	EDT	46000	P		
USGS	01193050	2017-05-15 19:10	EDT	47100	P		
USGS	01193050	2017-05-15 19:15	EDT	48100	P		
USGS	01193050	2017-05-15 19:20	EDT	47700	P		
USGS	01193050	2017-05-15 19:25	EDT	47200	P		
USGS	01193050	2017-05-15 19:30	EDT	46800	P		
USGS	01193050	2017-05-15 19:35	EDT	46900	P		
USGS	01193050	2017-05-15 19:40	EDT	47100	P		
USGS	01193050	2017-05-15 19:45	EDT	47200	P		
USGS	01193050	2017-05-15 19:50	EDT	46400	P		
USGS	01193050	2017-05-15 19:55	EDT	45700	P		
USGS	01193050	2017-05-15 20:00	EDT	44900	P	44700	P
USGS	01193050	2017-05-15 20:05	EDT	46200	P		
USGS	01193050	2017-05-15 20:10	EDT	47400	P		
USGS	01193050	2017-05-15 20:15	EDT	48900	P		
USGS	01193050	2017-05-15 20:20	EDT	48100	P		
USGS	01193050	2017-05-15 20:25	EDT	47500	P		
USGS	01193050	2017-05-15 20:30	EDT	46900	P		
USGS	01193050	2017-05-15 20:35	EDT	46900	P		
USGS	01193050	2017-05-15 20:40	EDT	47200	P		
USGS	01193050	2017-05-15 20:45	EDT	47400	P		
USGS	01193050	2017-05-15 20:50	EDT	47200	P		
USGS	01193050	2017-05-15 20:55	EDT	46800	P		
USGS	01193050	2017-05-15 21:00	EDT	46500	P	45000	P
USGS	01193050	2017-05-15 21:05	EDT	47100	P		
USGS	01193050	2017-05-15 21:10	EDT	47400	P		
USGS	01193050	2017-05-15 21:15	EDT	47800	P		
USGS	01193050	2017-05-15 21:20	EDT	48100	P		
USGS	01193050	2017-05-15 21:25	EDT	48300	P		
USGS	01193050	2017-05-15 21:30	EDT	48600	P		
USGS	01193050	2017-05-15 21:35	EDT	48300	P		
USGS	01193050	2017-05-15 21:40	EDT	48100	P		
USGS	01193050	2017-05-15 21:45	EDT	48000	P		
USGS	01193050	2017-05-15 21:50	EDT	48300	P		
USGS	01193050	2017-05-15 21:55	EDT	48700	P		
USGS	01193050	2017-05-15 22:00	EDT	49000	P	45300	P
USGS	01193050	2017-05-15 22:05	EDT	48800	P		
USGS	01193050	2017-05-15 22:10	EDT	48600	P		
USGS	01193050	2017-05-15 22:15	EDT	48400	P		
USGS	01193050	2017-05-15 22:20	EDT	49100	P		
USGS	01193050	2017-05-15 22:25	EDT	49700	P		
USGS	01193050	2017-05-15 22:30	EDT	50500	P		
USGS	01193050	2017-05-15 22:35	EDT	49700	P		
USGS	01193050	2017-05-15 22:40	EDT	49100	P		
USGS	01193050	2017-05-15 22:45	EDT	48500	P		
USGS	01193050	2017-05-15 22:50	EDT	48200	P		
USGS	01193050	2017-05-15 22:55	EDT	47700	P		
USGS	01193050	2017-05-15 23:00	EDT	47200	P	45500	P
USGS	01193050	2017-05-15 23:05	EDT	48100	P		
USGS	01193050	2017-05-15 23:10	EDT	49000	P		
USGS	01193050	2017-05-15 23:15	EDT	50000	P		
USGS	01193050	2017-05-15 23:20	EDT	49300	P		
USGS	01193050	2017-05-15 23:25	EDT	48500	P		
USGS	01193050	2017-05-15 23:30	EDT	47800	P		
USGS	01193050	2017-05-15 23:35	EDT	48000	P		
USGS	01193050	2017-05-15 23:40	EDT	48100	P		
USGS	01193050	2017-05-15 23:45	EDT	48300	P		
USGS	01193050	2017-05-15 23:50	EDT	48000	P		
USGS	01193050	2017-05-15 23:55	EDT	48100	P		
USGS	01193050	2017-05-16 00:00	EDT	47700	P	45700	P
USGS	01193050	2017-05-16 00:05	EDT	47500	P		
USGS	01193050	2017-05-16 00:10	EDT	47200	P		
USGS	01193050	2017-05-16 00:15	EDT	47000	P		
USGS	01193050	2017-05-16 00:20	EDT	47400	P		
USGS	01193050	2017-05-16 00:25	EDT	47900	P		
USGS	01193050	2017-05-16 00:30	EDT	48400	P		
USGS	01193050	2017-05-16 00:35	EDT	48200	P		
USGS	01193050	2017-05-16 00:40	EDT	48000	P		
USGS	01193050	2017-05-16 00:45	EDT	47800	P		
USGS	01193050	2017-05-16 00:50	EDT	47600	P		
USGS	01193050	2017-05-16 00:55	EDT	47300	P		
USGS	01193050	2017-05-16 01:00	EDT	47000	P	46000	P
USGS	01193050	2017-05-16 01:05	EDT	46700	P		
USGS	01193050	2017-05-16 01:10	EDT	46400	P		
USGS	01193050	2017-05-16 01:15	EDT	46100	P		
USGS	01193050	2017-05-16 01:20	EDT	46000	P		
USGS	01193050	2017-05-16 01:25	EDT	46000	P		
USGS	01193050	2017-05-16 01:30	EDT	45800	P		
USGS	01193050	2017-05-16 01:35	EDT	44900	P		
USGS	01193050	2017-05-16 01:40	EDT	44000	P		
USGS	01193050	2017-05-16 01:45	EDT	43100	P		
USGS	01193050	2017-05-16 01:50	EDT	43700	P		
USGS	01193050	2017-05-16 01:55	EDT	44200	P		
USGS	01193050	2017-05-16 02:00	EDT	44700	P	46200	P
USGS	01193050	2017-05-16 02:05	EDT	44000	P		
USGS	01193050	2017-05-16 02:10	EDT	43200	P		
USGS	01193050	2017-05-16 02:15	EDT	42400	P		
USGS	01193050	2017-05-16 02:20	EDT	42700	P		
USGS	01193050	2017-05-16 02:25	EDT	43100	P		
USGS	01193050	2017-05-16 02:30	EDT	43500	P		
USGS	01193050	2017-05-16 02:35	EDT	43500	P		
USGS	01193050	2017-05-16 02:40	EDT	43500	P		
USGS	01193050	2017-05-16 02:45	EDT	43500	P		
USGS	01193050	2017-05-16 02:50	EDT	43500	P		
USGS	01193050	2017-05-16 02:55	EDT	43400	P		
USGS	01193050	2017-05-16 03:00	EDT	43400	P	46400	P
USGS	01193050	2017-05-16 03:05	EDT	42700	P		
USGS	01193050	2017-05-16 03:10	EDT	42000	P		
USGS	01193050	2017-05-16 03:15	EDT	41400	P		
USGS	01193050	2017-05-16 03:20	EDT	41300	P		
USGS	01193050	2017-05-16 03:25	EDT	41300	P		
USGS	01193050	2017-05-16 03:30	EDT	41300	P		
USGS	01193050	2017-05-16 03:35	EDT	40800	P		
USGS	01193050	2017-05-16 03:40	EDT	40300	P		
USGS	01193050	2017-05-16 03:45	EDT	39900	P		
USGS	01193050	2017-05-16 03:50	EDT	40400	P		
USGS	01193050	2017-05-16 03:55	EDT	41000	P		
USGS	01193050	2017-05-16 04:00	EDT	41500	P	46600	P
USGS	01193050	2017-05-16 04:05	EDT	41600	P		
USGS	01193050	2017-05-16 04:10	EDT	41600	P		
USGS	01193050	2017-05-16 04:15	EDT	41800	P		
USGS	01193050	2017-05-16 04:20	EDT	41600	P		
USGS	01193050	2017-05-16 04:25	EDT	41700	P		
USGS	01193050	2017-05-16 04:30	EDT	41600	P		
USGS	01193050	2017-05-16 04:35	EDT	41200	P		
USGS	01193050	2017-05-16 04:40	EDT	40800	P		
USGS	01193050	2017-05-16 04:45	EDT	40500	P		
USGS	01193050	2017-05-16 04:50	EDT	41400	P		
USGS	01193050	2017-05-16 04:55	EDT	42200	P		
USGS	01193050	2017-05-16 05:00	EDT	43000	P	46800	P
USGS	01193050	2017-05-16 05:05	EDT	43600	P		
USGS	01193050	2017-05-16 05:10	EDT	44000	P		
USGS	01193050	2017-05-16 05:15	EDT	44700	P		
USGS	01193050	2017-05-16 05:20	EDT	44300	P		
USGS	01193050	2017-05-16 05:25	EDT	44100	P		
USGS	01193050	2017-05-16 05:30	EDT	43800	P		
USGS	01193050	2017-05-16 05:35	EDT	44400	P		
USGS	01193050	2017-05-16 05:40	EDT	45000	P		
USGS	01193050	2017-05-16 05:45	EDT	45500	P		
USGS	01193050	2017-05-16 05:50	EDT	45700	P		
USGS	01193050	2017-05-16 05:55	EDT	45700	P		
USGS	01193050	2017-05-16 06:00	EDT	45900	P	47000	P
USGS	01193050	2017-05-16 06:05	EDT	46200	P		
USGS	01193050	2017-05-16 06:10	EDT	46500	P		
USGS	01193050	2017-05-16 06:15	EDT	46600	P		
USGS	01193050	2017-05-16 06:20	EDT	47100	P		
USGS	01193050	2017-05-16 06:25	EDT	47500	P		
USGS	01193050	2017-05-16 06:30	EDT	47800	P		
USGS	01193050	2017-05-16 06:35	EDT	47500	P		
USGS	01193050	2017-05-16 06:40	EDT	47000	P		
USGS	01193050	2017-05-16 06:45	EDT	46800	P		
USGS	01193050	2017-05-16 06:50	EDT	48300	P		
USGS	01193050	2017-05-16 06:55	EDT	49700	P		
USGS	01193050	2017-05-16 07:00	EDT	51100	P	47200	P
USGS	01193050	2017-05-16 07:05	EDT	51000	P		
USGS	01193050	2017-05-16 07:10	EDT	51000	P		
USGS	01193050	2017-05-16 07:15	EDT	51000	P		
USGS	01193050	2017-05-16 07:20	EDT	51000	P		
USGS	01193050	2017-05-16 07:25	EDT	50900	P		
USGS	01193050	2017-05-16 07:30	EDT	50700	P		
USGS	01193050	2017-05-16 07:35	EDT	50300	P		
USGS	01193050	2017-05-16 07:40	EDT	49900	P		
USGS	01193050	2017-05-16 07:45	EDT	49300	P		
USGS	01193050	2017-05-16 07:50	EDT	49600	P		
USGS	01193050	2017-05-16 07:55	EDT	49800	P		
USGS	01193050	2017-05-16 08:00	EDT	50000	P	47400	P
USGS	01193050	2017-05-16 08:05	EDT	49800	P		
USGS	01193050	2017-05-16 08:10	EDT	49800	P		
USGS	01193050	2017-05-16 08:15	EDT	49600	P		
USGS	01193050	2017-05-16 08:20	EDT	49900	P		
USGS	01193050	2017-05-16 08:25	EDT	50300	P		
USGS	01193050	2017-05-16 08:30	EDT	50600	P		
USGS	01193050	2017-05-16 08:35	EDT	50100	P		
USGS	01193050	2017-05-16 08:40	EDT	49600	P		
USGS	01193050	2017-05-16 08:45	EDT	49000	P		
USGS	01193050	2017-05-16 08:50	EDT	49700	P		
USGS	01193050	2017-05-16 08:55	EDT	50300	P		
USGS	01193050	2017-05-16 09:00	EDT	50900	P	47600	P
USGS	01193050	2017-05-16 09:05	EDT	51000	P		
USGS	01193050	2017-05-16 09:10	EDT	50800	P		
USGS	01193050	2017-05-16 09:15	EDT	50900	P		
USGS	01193050	2017-05-16 09:20	EDT	51100	P		
USGS	01193050	2017-05-16 09:25	EDT	51400	P		
USGS	01193050	2017-05-16 09:30	EDT	51800	P		
USGS	01193050	2017-05-16 09:35	EDT	51700	P		
USGS	01193050	2017-05-16 09:40	EDT	51600	P		
USGS	01193050	2017-05-16 09:45	EDT	51600	P		
USGS	01193050	2017-05-16 09:50	EDT	51800	P		
USGS	01193050	2017-05-16 09:55	EDT	51900	P		
USGS	01193050	2017-05-16 10:00	EDT	52000	P	47700	P
USGS	01193050	2017-05-16 10:05	EDT	52100	P		
USGS	01193050	2017-05-16 10:10	EDT	52200	P		
USGS	01193050	2017-05-16 10:15	EDT	52300	P		
USGS	01193050	2017-05-16 10:20	EDT	52700	P		
USGS	01193050	2017-05-16 10:25	EDT	53200	P		
USGS	01193050	2017-05-16 10:30	EDT	53600	P		
USGS	01193050	2017-05-16 10:35	EDT	52800	P		
USGS	01193050	2017-05-16 10:40	EDT	52000	P		
USGS	01193050	2017-05-16 10:45	EDT	51400	P		
USGS	01193050	2017-05-16 10:50	EDT	50900	P		
USGS	01193050	2017-05-16 10:55	EDT	50200	P		
USGS	01193050	2017-05-16 11:00	EDT	49900	P	47900	P
USGS	01193050	2017-05-16 11:05	EDT	50600	P		
USGS	01193050	2017-05-16 11:10	EDT	51500	P		
USGS	01193050	2017-05-16 11:15	EDT	52500	P		
USGS	01193050	2017-05-16 11:20	EDT	52700	P		
USGS	01193050	2017-05-16 11:25	EDT	53100	P		
USGS	01193050	2017-05-16 11:30	EDT	53300	P		
USGS	01193050	2017-05-16 11:35	EDT	52400	P		
USGS	01193050	2017-05-16 11:40	EDT	51400	P		
USGS	01193050	2017-05-16 11:45	EDT	50600	P		
USGS	01193050	2017-05-16 11:50	EDT	51100	P		
USGS	01193050	2017-05-16 11:55	EDT	51600	P		
USGS	01193050	2017-05-16 12:00	EDT	51900	P	48000	P
USGS	01193050	2017-05-16 12:05	EDT	51400	P		
USGS	01193050	2017-05-16 12:10	EDT	50800	P		
USGS	01193050	2017-05-16 12:15	EDT	50200	P		
USGS	01193050	2017-05-16 12:20	EDT	50400	P		
USGS	01193050	2017-05-16 12:25	EDT	50600	P		
USGS	01193050	2017-05-16 12:30	EDT	50800	P		
